"","P03995","Q9JJU9","Q6PB70","Q9JJV1","Q91ZN5","P49194","Q8CIX8","Q9WVJ5","P42225","A2AMT1","Q61597","P23927","Q9CZ04","P24622","P62696","P04344","P02525","P15655","O35486","Q64282","Q6NVD9","Q6YGZ1","P15379","Q9JJV0","Q8C5L6","Q9QWL7","Q64345","Q05816","P28184","P04345","P34056","P13541","Q6Q899","P02798","P42227","P45700","Q9Z0E6","Q8R2Q8","P04342","Q91Z83","P51667","P70255","Q8BFQ8","E9Q4S1","P47955","Q62082","Q60590","Q61646","P13542","Q9CYL5"
"P03995",1,0.999344311763075,0.998842239880311,0.99926668184093,0.9982103593178,-0.999194536402533,0.998321433432692,0.998294352692312,0.994984720763564,0.99753853570687,0.996839177364727,0.997387596548754,0.995192996380517,0.996641182212332,0.996658986217683,0.996276128137794,0.995714230220175,0.994148371499699,0.995590486690496,0.995526711402477,0.991894863493684,0.988151095859536,0.986310114595069,0.992679677864177,0.989345675554954,-0.988486180541315,0.99112620905584,0.98822528300775,0.987289261511756,0.989318854665154,0.984270466199865,-0.978002178347114,0.980604927475111,0.980062205604506,0.986619886456621,0.98153928877892,0.979921841038369,0.982310278656113,0.982871283645815,-0.974040122515427,-0.972665960673997,0.979807755245799,-0.972267417325269,-0.976743610688846,-0.964623771106643,-0.964764392630395,0.972952743777753,0.973635349684395,-0.96818612419486,0.96791825412898
"Q9JJU9",0.999344311763075,1,0.998245463746333,0.998649273241545,0.996714364990847,-0.998525762890339,0.998426610248401,0.997882131697888,0.995769444837867,0.996632945942006,0.996922182571561,0.9963062468426,0.997114668772006,0.99522639608863,0.99528663709226,0.99543386381897,0.994199011249012,0.994514903016001,0.994880485360887,0.994866664227469,0.990065443106357,0.986855753851974,0.984561326464081,0.991547620716071,0.989381155797764,-0.983290527161369,0.988206560957913,0.98601273927735,0.98334091716185,0.986501198800124,0.981715604001209,-0.978996751631136,0.983157403439941,0.97771200052653,0.983313468792159,0.984218598934493,0.984673283460273,0.976083632963483,0.980206632836607,-0.974415523635482,-0.976791585114955,0.977539889597366,-0.971643665923278,-0.973110046515077,-0.965658735661765,-0.967684329700681,0.972435481376614,0.97049348787271,-0.967073716455497,0.968069983440527
"Q6PB70",0.998842239880311,0.998245463746333,1,0.999152875477635,0.99877979849928,-0.997005417507936,0.998087384191531,0.99687545286317,0.997977407339499,0.996779019834938,0.996358070676191,0.997284877958863,0.995306493631171,0.995463241213253,0.994989971451175,0.99452610108972,0.993516307913152,0.996299597927115,0.992935527950269,0.990586651071287,0.989826235031519,0.984159250724781,0.991471920084393,0.98890931501845,0.982571832367178,-0.991071007122938,0.985046279589245,0.987096054692059,0.987041601292492,0.982122201923442,0.987028042368652,-0.983843177780959,0.984294439416819,0.98283435044946,0.98170448841986,0.983500198611714,0.979946657955026,0.979062373667847,0.975730759634221,-0.979576030819657,-0.97893631578722,0.971427571219994,-0.979719558345737,-0.977538439997995,-0.972903918539693,-0.970757465722491,0.96809429243904,0.966770604509206,-0.965057152721935,0.973787422508232
"Q9JJV1",0.99926668184093,0.998649273241545,0.999152875477635,1,0.996991034757159,-0.998393881726991,0.998242226620195,0.99926618946278,0.995608309048912,0.999150617566088,0.998793500351092,0.997680523023452,0.994738264054617,0.99591253199425,0.996459398492211,0.997640367100888,0.997246702172035,0.996802029996962,0.996879496870692,0.994504158175877,0.994553362974858,0.984039735518291,0.985955901733692,0.991233773549102,0.985828197732863,-0.989764327764242,0.989888109598099,0.991831199556845,0.990580509261075,0.987261877487173,0.989786166659311,-0.976349070711591,0.986210043606024,0.984169605842914,0.987118065922383,0.986140517052706,0.980670915112977,0.98359458710092,0.983351188090883,-0.970830453712608,-0.971557815716009,0.972062933604412,-0.979898931207418,-0.974237444593512,-0.969898900528749,-0.961203406782965,0.975628578329294,0.974769081960948,-0.959789476891972,0.976267488836434
"Q91ZN5",0.9982103593178,0.996714364990847,0.99877979849928,0.996991034757159,1,-0.996450047745239,0.996947794284964,0.993825668348753,0.995742185056461,0.993397388768788,0.992146547434765,0.996664818705848,0.993676513663559,0.996140762884186,0.994763214001332,0.99159562394193,0.990243162001599,0.992352931744755,0.989532760224508,0.989351717295222,0.985268570115677,0.986024732722179,0.992667014317624,0.989729353938695,0.982299203250419,-0.991996220574898,0.985198056067965,0.98152171947814,0.98326191027012,0.982434387379796,0.980729051426869,-0.984975416906077,0.9745107854709,0.977069340062778,0.980896384698218,0.975961999712178,0.975587613008846,0.978645716383758,0.972779342523859,-0.983308992300208,-0.97806858348774,0.978768737551696,-0.970868110069431,-0.983595257728231,-0.965067574794876,-0.974137304273094,0.963389502747711,0.964784528117287,-0.975041068383431,0.964375020527006
"P49194",-0.999194536402533,-0.998525762890339,-0.997005417507936,-0.998393881726991,-0.996450047745239,1,-0.998785417624235,-0.998275198677752,-0.991168077030568,-0.997141971684231,-0.996920153724101,-0.998390035360735,-0.995680194747781,-0.998341624003499,-0.998738357025008,-0.997956304928217,-0.996419080165897,-0.994276836475983,-0.99725410179021,-0.99782073656785,-0.992600095138857,-0.983878721832349,-0.980066482408655,-0.996573673281526,-0.988344297816512,0.985579577767139,-0.99398909553634,-0.987519022459174,-0.985744541879743,-0.991211224779911,-0.982402432829735,0.970480293775124,-0.977326931220326,-0.97419513643968,-0.991235349758738,-0.983963414065569,-0.983053886738748,-0.982759711910378,-0.985784865696724,0.967068206487562,0.967013504218842,-0.98199989199636,0.967802245228234,0.979504853873512,0.955210260920566,0.959626190827377,-0.980474690882034,-0.980841081278208,0.969398697352708,-0.968967105340359
"Q8CIX8",0.998321433432692,0.998426610248401,0.998087384191531,0.998242226620195,0.996947794284964,-0.998785417624235,1,0.996978758396951,0.994048572224656,0.995932296723369,0.996755680413193,0.999287065975601,0.99850186643816,0.998507801207406,0.99831181573069,0.996848689729037,0.993720072773375,0.997374652333814,0.995082840779906,0.994065899065765,0.989433902000304,0.978323151569337,0.983265429343734,0.995171948080545,0.98167248189055,-0.984912030857684,0.987952629715976,0.984116150208283,0.982139396646708,0.983556171372821,0.982310643346789,-0.975814702473592,0.980362282364694,0.972422629888125,0.986808341492794,0.988655172445123,0.988389307305705,0.976055778626177,0.977860022549477,-0.972622903934579,-0.97550652846037,0.975601443154657,-0.972361033677325,-0.982294959185748,-0.959744122437978,-0.968388295998155,0.978488874265222,0.975281398864303,-0.970014872026112,0.974912205112953
"Q9WVJ5",0.998294352692312,0.997882131697888,0.99687545286317,0.99926618946278,0.993825668348753,-0.998275198677752,0.996978758396951,1,0.992166545675001,0.999721972226885,0.999527573570749,0.996366909262794,0.993133543977669,0.994682326537855,0.996145768121459,0.998856765586626,0.998989139781052,0.995601588542806,0.998944091532831,0.996808788831207,0.997079551758978,0.983085025275437,0.979273703405529,0.991854008039443,0.988136636644741,-0.986191280666129,0.992704021595818,0.994269164178979,0.991636174145053,0.990554682683143,0.99005853819414,-0.968462230694234,0.98662702849421,0.983514702626399,0.990103485149669,0.98706677075394,0.980531621826202,0.985368440806207,0.988724581438446,-0.96177971065741,-0.964152940877927,0.971758374698446,-0.977885285548057,-0.969133901588334,-0.965668895994932,-0.951748860098188,0.980741369466788,0.980095430273016,-0.954058584087801,0.976220056916828
"P42225",0.994984720763564,0.995769444837867,0.997977407339499,0.995608309048912,0.995742185056461,-0.991168077030568,0.994048572224656,0.992166545675001,1,0.992103706304445,0.992296668551228,0.991502680340296,0.993312715996882,0.988379362031368,0.987313338426118,0.987537001098335,0.986591628155351,0.993427205491631,0.985757019336836,0.982269638158376,0.982485997367666,0.982434695450495,0.994278514372154,0.979070502972292,0.977841834433212,-0.985826792359063,0.973448839343028,0.980991067499159,0.980363633225879,0.971261107285101,0.982978214167814,-0.991197104800639,0.987240929263996,0.983120460802769,0.968227478727196,0.980462663198533,0.978130950086675,0.967213888910536,0.963721482519667,-0.985866878319561,-0.987794662944319,0.961200345486758,-0.981782731038965,-0.968228049755708,-0.982189152972596,-0.97813424719897,0.954413716226104,0.950125910316779,-0.959165709981935,0.970554295153506
"A2AMT1",0.99753853570687,0.996632945942006,0.996779019834938,0.999150617566088,0.993397388768788,-0.997141971684231,0.995932296723369,0.999721972226885,0.992103706304445,1,0.999463324292779,0.995829822638299,0.991209264658561,0.993677450085394,0.995272153102031,0.998546554435982,0.999231181563417,0.995722137232297,0.998553968967371,0.995252458939466,0.997939426801725,0.981879319835401,0.980316305299218,0.989947541321691,0.985949973992238,-0.988561653273102,0.991817677540581,0.99600591178911,0.99410002308769,0.989486548783538,0.993020089755067,-0.968151570031073,0.987940592183203,0.986664645089539,0.989744407998766,0.986638070726125,0.977456367225049,0.98741541563431,0.988485076418666,-0.960914521333755,-0.962447337916494,0.967934577254075,-0.981593718255999,-0.968004658597479,-0.968793801293481,-0.949338341141225,0.979613377434837,0.979391913960265,-0.949720545716444,0.978729797105709
