Master.Protein.Accessions,Freq
A1IGU4,1
A1Y9I9,1
A2A5R2; G3X9K3; P63034,1
A2A6Q5,1
A2A8L1,1
A2A8L5,1
A2A8U2,1
A2AGH6,1
A2AH22,1
A2AJ15,1
A2AJB2,1
A2AMM0,1
A2AP18; Q4KWH5,1
A2APV2; Q9JL26,1
A2AQP0,1
A2ASS6; O88485,1
A2ASS6; Q8VHX6,1
A2AX52,1
A2CG63,1
A2RT67,1
A4Q9F3,1
A6H5Z3,1
A6H6E9,1
A6H8H2,1
A6PWD2,1
A6X919,1
A7XUZ6,1
A8C756,1
B0QZF7,1
B1AVD1,1
B1AX39,1
B1AXH1,1
B1AXV0,1
B2RR83,1
B2RS91,1
B2RWJ3,1
B2RX14,1
B7ZMP1,1
C0HK80,1
C0HKG5,1
D3Z0R2,1
D3Z6Q9; O08539; Q7TQF7,1
E9PVB5,1
E9PY46,1
E9PYH6,1
E9PYK3,1
E9PZJ8,1
E9Q1U1,1
E9Q309,1
E9Q401,1
E9Q401; Q91VH6,1
E9Q4F7,1
E9Q4S1,1
E9Q6B2,1
E9Q7X7; Q6P9K9,1
E9Q8I9,1
E9Q942,1
E9Q9D5,1
E9Q9D5; Q8BPN8,1
E9Q9R9,1
E9Q9U0,1
E9QAG8,1
E9QAG8; P17141,1
F7BWT7,1
F8VPQ2,1
F8VPQ2; A2CG63,1
F8VQB6,1
G3X982,1
G3X982; O54754,1
G3X9C2,1
G5E8B9,1
G5E8P0,1
J3QNX5,1
O08528; P17710,1
O08529; O35350,1
O08553; P97427,1
O08553; Q8BPU7,1
O08573,1
O08576,1
O08586,1
O08599; Q64324,1
O08600,1
O08638; Q6URW6; Q61879,1
O08689,1
O08715,1
O08738,1
O08739; Q3V1D3,1
O08792,1
O08811,1
O08900,1
O08911; P47811; Q9WTU6,1
O08919; Q9QZS3,1
O08970,1
O09012,1
O09046,1
O09111,1
O09117,1
O35071,1
O35099,1
O35126,1
O35149,1
O35153,1
O35216,1
O35304,1
O35309,1
O35344,1
O35387,1
O35405,1
O35449,1
O35450,1
O35474,1
O35495,1
O35599; P15409,1
O35602,1
O35621; Q9Z2M7,1
O35639; P97384,1
O35640,1
O35648,1
O35654,1
O35657,1
O35680,1
O35681,1
O35683,1
O35704,1
O35730; Q9CQJ4,1
O35732,1
O35855,1
O35945,1
O35945; P47738; Q62148; P24549; Q9CZS1,1
O35955,1
O54754,1
O54774; P13542,1
O54851,1
O54879; P30681,1
O54946; Q9QYI5,1
O54974,1
O54998,1
O55003,1
O55028,1
O55100,1
O55102,1
O55134,1
O55186,1
O55187,1
O70139,1
O70152,1
O70172; Q80XI4; Q91XU3,1
O70279,1
O70281,1
O70283,1
O70305; Q7TQH0,1
O70318; P48193,1
O70333,1
O70348,1
O70401,1
O70421,1
O70494,1
O70551,1
O70566,1
O70583,1
O70622,1
O88196,1
O88346,1
O88485; O88487,1
O88491,1
O88502,1
O88502; E9Q4S1,1
O88559,1
O88575,1
O88593,1
O88602,1
O88653,1
O88708,1
O88741; Q8VE33,1
O88824,1
O88834,1
O88909,1
O88939,1
O88990; P57780; Q7TPR4,1
O88990; Q9JI91,1
O89023,1
O89032,1
P00375,1
P01630,1
P01631,1
P01636,1
P01642,1
