control_choroid-1,control_choroid-2,control_choroid-3,CNV_choroid-1,CNV_choroid-2,CNV_choroid-3,CNV_retina-1,CNV_retina-2,CNV_retina-3,control_retina-1,control_retina-2,control_retina-3
158.1,154.7,153.2,193.5,193.7,195.3,25.3,24.1,22.3,25.9,25.5,28.2
165.9,162.1,161.7,202.1,208.5,209.3,15.2,14.5,12.7,15.6,15.3,17
163.1,164.1,157.5,201.7,202.9,203,17.3,16.9,15.3,18.8,18.8,20.6
199.3,196.7,185.1,173.2,175.7,179.7,15.3,14.7,13.7,15.2,15.1,16.3
116.3,117.8,117.5,99.6,98.3,98.7,91.6,93.1,91.9,91.3,91,93.1
156.2,152,149.4,209.2,209.7,211.9,17,14.8,14.4,21.7,22.2,21.4
121.5,124.6,121.5,104,102.9,103.1,86.8,88.7,87.1,86.2,86.1,87.5
75.5,74.8,77.4,72.1,71.9,72,128.3,126.4,127.6,125.5,125.5,123
150.8,150.5,146.1,148.8,147.2,148.8,52.7,53,50.5,49.5,49.2,52.8
189.3,177.6,184.1,178.2,178.7,180,18.7,18.2,16.4,19.3,18.4,21
136.7,133.7,131.4,197.1,196.2,197.5,28.2,27.7,25.5,41.6,40.3,44.1
158.4,154,154.5,162.3,161.6,163.1,42.9,41.5,39.9,40.3,40.1,41.4
41.4,43.7,45,42.3,42.7,41.7,152.7,155.8,156.8,159.5,160.7,157.5
69.3,71.4,71.3,67.8,68.1,67.7,130.9,131.1,131.4,130.8,129.6,130.6
40.5,40.3,42.6,38.7,38.8,38.5,162.6,156.3,162.9,159.7,161.4,157.7
54.5,54.8,56.7,51.2,51.5,50.2,148.4,148,149.6,145.6,147.6,142
160.5,160.1,156.7,158.1,158.1,159.7,42.4,42.3,40.4,39.8,39.5,42.4
154.7,156,152.3,145,142.8,144.7,50.8,52.4,51.5,50.4,48.9,50.4
140.3,142.5,132,204.7,203.7,203.4,24.1,22.6,20.6,35.1,33.9,37
163.8,156.1,150.7,194,217.6,208.7,18.5,17.4,15.7,19.3,18.6,19.8
175.6,173.7,172.2,163.5,163.2,164.8,33.7,32.2,30.7,29.9,29.5,30.9
80.4,80.2,83.4,80.7,79.8,79.4,118.8,117.9,118.9,121.3,120.7,118.4
41.8,43.4,44.7,43.7,43.5,42.7,151,153.2,156.4,159.7,158.8,161.1
190.8,190.8,188.6,144,143.1,144.6,34.1,33.5,31.9,32.5,32.3,33.8
97.8,97.5,98.3,92.5,91.5,91.3,105.9,106.1,105.9,104,104.9,104.3
50.4,56.9,54.1,51.5,50.3,49.6,144.2,149,147.2,150,147.3,149.4
157.5,156.1,153.7,153.5,150.7,153.2,46.5,46.5,44.5,45.9,45.5,46.5
102.6,108.2,103.7,90.5,89.8,89.6,102,104.3,102.7,103.1,101.2,102.3
57.7,57.9,61.3,57.9,58,57.8,141.4,139.7,141.9,143.1,143.5,139.7
141.6,143.3,140.9,137.1,137.5,137.2,61.3,61.9,59.1,59.7,59.5,60.8
128,125.8,127,110.3,110.1,110.7,84.9,84.6,83.9,78.2,78.6,77.8
176.6,169.7,173,159,158.4,160.1,35.1,32.8,31.7,34.7,33.3,35.7
90.6,91.5,91.6,86.9,87.4,87.1,110.7,112.4,111.9,110,110.4,109.4
39.6,39.5,42.2,40.7,40.6,40.3,155.7,153,158.1,164,163.7,162.7
95.7,95.7,96.5,93.8,93.5,93.3,106.5,105.9,106.3,103.8,105.8,103.3
80.4,79.3,82.4,73.7,74.6,72.9,124.3,121.6,124.1,121.8,125,119.9
47.1,48.9,49.9,48.9,48.8,47.8,148,150.2,152.8,153.2,152,152.3
56.6,57.1,60.9,54.9,55.5,54.6,142.6,140.8,144.9,143.9,146,142.2
115.7,112.5,117.6,115.8,115.7,115.3,85.8,84.5,84.3,85.8,83.9,83.1
87.7,88.5,89.1,78.7,77.7,77,117,117.3,117.6,116.3,116.4,116.6
73.8,77.7,75.3,77,76.1,75.6,120.4,123.4,124.3,125.5,123.9,127
149.6,146.1,146.2,136.6,136.4,134.8,59.6,59.2,58.1,57.1,56.8,59.6
165.5,168,160.8,143.4,142.7,144.9,46.9,46.9,45.1,44.6,44.5,46.7
20.8,21.2,24.8,23,23.2,22.2,177.6,179.9,180.5,177.7,172.6,176.6
159.8,154,155.6,201.1,201.3,206.4,20.3,19.4,17.7,21.3,20.3,22.8
168.5,163.6,164.9,175.9,174.7,177,32.4,31.3,29.7,27,26.5,28.5
157.4,158.5,154.6,149.2,152,148.2,47.8,48.2,45.7,46,45.2,47.1
197.5,199.9,189.7,178,175.6,177.7,14.2,13,12.2,13.5,13.5,15
52.9,55.4,55.4,47.5,47.9,47.1,149.5,147.7,152.4,148.5,146.4,149.3
160.6,160,156.2,146.2,144,146.5,48.8,48.6,46.7,46.8,47.4,48.2
161.5,158.5,160.1,158,157.8,159.6,41.4,40.4,39.2,41.2,40.6,41.8
99.4,101.4,97.7,117.4,117.6,117.7,90.3,91.8,90.8,91,90.3,94.6
157.6,155.5,151.8,196.2,197.4,197.2,24,23.2,21.2,24.7,24.5,26.7
192.8,198.2,186.9,170,169.1,170.8,19.3,18.1,17,18.9,18.8,20.1
174.2,172.9,170.7,156.2,153.2,154.7,36.5,36.2,34.3,36.8,35.7,38.6
38.6,39.3,41.6,36.9,37.6,36.8,158.3,161.5,161.8,163.6,163.1,160.9
30.4,31.9,34.3,31.9,31.7,31.7,164.5,166.5,167.3,173.2,168.6,168.1
72.8,75,74.1,65.2,64.8,63.8,132.7,130.5,132.3,129.1,131.4,128.4
74.7,72.3,77.2,77.2,77.2,76.2,124.5,123,123.9,125.7,127.3,120.7
60.6,63.6,63.5,54.5,55,54,138.7,142.2,143.1,142.1,139.6,143.1
50.2,50,52.6,44.1,44.5,43.1,149.7,149.3,152.5,153.9,157,153
136.7,136.5,133.5,139.8,139,140.4,61.8,62.5,60.6,62.9,62,64.4
194.4,190.5,187.6,164.3,163.4,166.2,22.9,20.8,20.3,23.5,22.6,23.5
67.2,64.4,69.6,66.6,66.2,66.6,133.6,132,135.4,132.1,135,131.2
76.6,79,79,82.5,82.7,81.4,116.1,118.5,117.3,122.7,121.8,122.4
128,120.6,124.5,216.8,220.6,219.2,29.6,28.2,25.7,28.2,28.3,30.2
38.8,38.8,44.4,34.8,35.1,34.8,168.6,157.3,175.5,157,160.2,154.6
85.6,83.7,87.3,84.7,83.1,83.8,115.9,115,115.1,115.1,114.7,116.1
62.8,62.1,66,62.2,63,62,137.9,137.3,139.7,135.5,137,134.6
56,58.6,59.5,47.3,46.5,46.6,145.6,148.4,149.1,146.5,146.5,149.6
117,114.8,116.7,147,146.3,146.6,69.4,67.1,67.3,68.9,69.6,69.2
168.2,166.6,166.5,147.7,145,146.1,43.9,43.6,41.4,43.6,43,44.4
197.1,203.8,188.4,173.8,170.5,173.2,16.7,14.7,14.3,15.6,15.3,16.5
145.8,164.6,141.3,167.9,167,166.5,40.7,41.7,39.9,40.7,40.3,43.6
164.5,160.5,161,200.9,200,202.1,18.3,17.5,15.4,19.7,19.3,20.8
159,158.2,157.3,148.4,145.8,148.4,49.2,49.4,47.2,45.3,44.8,47
35.2,34.8,38.3,37.7,37.3,37.1,161,161.5,165.6,164.8,165.3,161.5
152.1,154.9,148.8,129.5,126.4,129.4,56,57.9,55.8,62.7,61.2,65.3
36.8,39,39.1,35.6,34.9,34.8,152.8,156.4,156.2,171.5,169,173.8
164.8,159.9,161.3,200.6,200.5,201,18.5,17.3,15.2,20.6,19.6,20.8
44.6,43,49,43.4,44.8,41.8,157.3,154.5,157,157,157.3,150.2
72.1,70.1,75.7,76.2,75.5,74.9,125.6,121,124.2,129.5,130.4,124.7
49.6,52.5,53.1,52.3,52.8,51.7,144.2,141.7,147,151.3,149.7,154.1
70.7,70.6,73.3,63,63.1,62.5,130.6,131.7,132.1,133.4,134.6,134.4
81,83.5,83.7,83.6,80.5,83,115.5,117.5,119.3,117.3,118.9,116.1
98.3,96.9,99.2,92.8,91.1,93.2,105.9,105.6,106.2,103.1,104.3,103.4
194.4,183.1,188.7,173.2,173.6,174.6,19.5,17.8,17.2,19.1,19.1,19.7
80.2,79.8,81.6,76.2,75,74.4,121.7,122.8,122.4,122.1,122.4,121.5
166.4,162,160.3,205.2,205.1,205.6,16,15.8,13.7,16.1,15.9,17.9
132.9,133.6,131.8,118,118.8,119,74.6,73.8,73.4,73.2,74,76.8
39.5,40.8,41.7,38.9,38.4,38.4,157.5,159.5,159.4,163.7,160.6,161.7
69.2,72.6,71.3,69.6,69,67.7,129.1,135.2,132.6,127,125.4,131.3
69,68.4,71.2,65.9,66,65.3,133,133.3,134.1,131.1,132.3,130.2
107.9,109.3,109.4,102.8,102.7,100.8,94.3,96,94.5,93.6,93.1,95.5
85.3,85.2,86.1,85.4,85.1,84.4,116.5,113.8,113.9,114.5,114.8,115.1
156.4,159.2,155.6,152.5,151.9,154.2,46.3,46.2,44.2,44.3,43.9,45.1
164.7,162.1,163.1,163.5,164,167.4,37.5,36.1,35.5,35,35.2,36
56.4,56.8,59.1,55.8,55.5,55.7,141,143.7,143.6,144.7,145.3,142.4
51,52.8,52.1,50.7,50.1,50,150.9,150.7,154.2,145.1,145.1,147.3
49.5,51.8,53.1,50,51.6,50.8,148.7,148.4,150.8,149,149.7,146.6
54,56,57.5,54.3,54.9,55.2,145.5,146.3,147.4,142.5,142.6,143.9
67.2,69.9,73.4,58.7,58.1,58,130.6,137.2,133.8,138.2,137,137.7
93.7,95.5,94.9,100.1,98.8,98.4,101.6,102.8,100.7,104.6,104.4,104.6
149.4,151.9,146.1,189.8,190.4,189.5,33.8,32.1,29.5,29.2,27.5,31
62.9,59.5,64.7,58.1,58.3,57.3,146.4,135.4,144.3,137.1,144.3,131.8
125.7,125.7,126.1,123.4,122,121.8,76.4,77.1,75.1,74.8,74,77.8
117.6,115.5,118.9,71.7,72.2,72.3,88.6,86.7,89.3,122.5,123.9,120.9
147.2,150.2,146.1,145.2,143.7,142.8,55.9,57.3,54.3,52.1,51.2,54.2
158.7,155.8,157.8,144.8,144.6,146.2,52.5,52.5,50.8,45.5,45,46
62,63.1,65.8,63.6,64.5,65.4,130.7,138.4,135.6,136,131.4,143.4
57.1,56.5,60.2,52.7,53.6,51.7,142.5,141.8,142.6,146.3,149,145.7
72.3,75.1,75.3,71.6,71.6,70.7,125.1,129.8,128.5,126.3,127,126.7
48,47.8,52.8,49.6,49.2,48.7,153.7,147.5,153.6,152.7,151.3,145.2
58.2,60.3,60.4,57.1,57.5,56.6,138.8,141.3,142.4,143.1,141.1,143.2
195.8,192,190.6,170.8,170.3,172.4,18.9,17.5,16.6,17.7,17.4,20
45.5,43.5,45.3,43.2,43.8,42.9,147.8,148.1,150.1,164,165.2,160.5
51.7,49.9,54.4,50.7,50.7,49.9,147.1,148.5,150.5,148.6,150.8,147.2
160.8,166.4,156.2,147,146.8,149.5,45.6,45.5,43.9,45.3,45.5,47.4
170.5,164.2,167.7,142.1,141.2,142.1,47.2,46,45,43.8,44.5,45.8
34.9,34.1,37.6,35.1,34.8,34.7,161.6,161.2,164.5,168.2,168,165.4
70.2,71.1,72,71.1,71,70.3,128.7,129.2,130,129.3,128.2,129.1
115.5,118.5,115.9,114,112.3,112.2,84.3,86.3,84.9,85.1,85.3,85.7
90.3,89.3,88.5,93.7,92.3,94.3,109.3,110.5,110.2,107.6,107.1,106.9
86.7,86.9,87.8,80.7,83.3,79.8,115.5,118,116.9,114,115.3,115.1
62.6,61.9,64,63.5,62.7,62.5,135.9,135.3,139.4,138.1,135.8,138.3
111.4,112.1,108.8,109.5,109,108.1,91.2,91.2,89.7,90.1,88.3,90.7
137.7,136.9,133.8,214.1,229.2,226.8,21.1,20.3,18,19.8,20.2,22
55.1,53.6,59.6,53.8,54.3,54,148.3,144.1,146.5,144.7,145.4,140.7
67.8,75,71,70.6,69.8,70.3,126.1,131.6,130.2,129.1,127,131.7
36.4,37.2,38.8,37.1,37.4,36.7,159.6,157,163.4,165.2,166.7,164.6
95.8,94.4,98.5,96.2,94.9,94.3,107,104.2,105.5,103.2,104.5,101.4
65.6,67.4,67,66.4,65.4,64.3,136.5,134.8,135.3,131.3,132.7,133.2
32.1,34.6,36.4,34.1,35.6,35.9,161.8,165.6,166.7,164.7,166.7,165.8
163.6,160.7,160.5,201.2,201.3,204.5,18.6,17.2,16.3,18.6,18.4,19.1
85,84.4,86.3,83.8,83.4,83.1,115.5,114.7,117.1,114.9,117.5,114.3
143.8,143.2,143.3,131.7,130.3,131.4,63.4,63.7,61.9,63.6,61.3,62.4
