row.names,Accession,MW.[kDa]
A2ASS6,A2ASS6,3904.1
Q5SX39,Q5SX39,222.7
Q5SX40,Q5SX40,223.2
Q60847,Q60847,340
P16546,P16546,284.4
P13542,P13542,222.6
Q62261,Q62261,274.1
Q9JHU4,Q9JHU4,531.7
Q9QXS1,Q9QXS1,533.9
Q61554,Q61554,312.1
P13541,P13541,223.7
Q8VDD5,Q8VDD5,226.2
Q8CJ40,Q8CJ40,226.8
Q68FD5,Q68FD5,191.4
Q6PIC6,Q6PIC6,111.6
P14873,P14873,270.1
Q8BTM8,Q8BTM8,281
P26039,P26039,269.7
Q91Z83,Q91Z83,222.7
Q8R429,Q8R429,109.4
P07724,P07724,68.6
P63017,P63017,70.8
P52480,P52480,57.8
O08638,O08638,226.9
Q61879,Q61879,228.9
O70318,O70318,109.9
Q99PL5,Q99PL5,172.8
Q8VDN2,Q8VDN2,112.9
P07901,P07901,84.7
P57780,P57780,104.9
P20152,P20152,53.7
Q05793,Q05793,398
Q9QXZ0,Q9QXZ0,831.4
P17182,P17182,47.1
P11499,P11499,83.2
P27546,P27546,117.4
P09411,P09411,44.5
P14733,P14733,66.7
P20029,P20029,72.4
Q99104,Q99104,215.4
P56480,P56480,56.3
Q91ZX7,Q91ZX7,504.4
Q61292,Q61292,196.5
P20443,P20443,44.9
P68134,P68134,42
P01027,P01027,186.4
Q80X90,Q80X90,277.7
P11087,P11087,137.9
P68369,P68369,50.1
Q64727,Q64727,116.6
Q7TPR4,Q7TPR4,103
P15508,P15508,245.1
Q9JI91,Q9JI91,103.8
Q04857,Q04857,108.4
P48678,P48678,74.2
P13595,P13595,119.4
O08599,O08599,67.5
Q8C8R3,Q8C8R3,426
Q8CAQ8,Q8CAQ8,83.8
O08553,O08553,62.2
Q7TSJ2,Q7TSJ2,96.4
P60710,P60710,41.7
Q80X19,Q80X19,192.9
Q61316,Q61316,94.1
P05064,P05064,39.3
P11276,P11276,272.4
P68368,P68368,49.9
Q71LX4,Q71LX4,253.5
Q02053,Q02053,117.7
Q9WV92,Q9WV92,103.3
Q9WUB3,Q9WUB3,97.2
P02468,P02468,177.2
P68373,P68373,49.9
Q01149,Q01149,129.5
P62737,P62737,42
P58774,P58774,32.8
P26041,P26041,67.7
P46460,P46460,82.6
Q6PIE5,Q6PIE5,112.1
P20612,P20612,39.9
